Date,TotalSleepTime,RealSleepTime,CalorieConsumption,WakeUpCall,REM,LightSleep,DeepSleep
230525,7:05,6:14,492,0:49,1:56,3:17,1:03
230526,4:09,3:29,287,0:39,0:33,1:59,0:58
230527,5:37,5:16,388,0:20,1:12,3:52,0:13
230528,8:03,7:24,557,0:38,1:52,4:10,1:23
230529,7:02,6:07,486,0:54,1:12,3:57,0:59
230530,5:21,4:52,370,0:27,1:17,3:13,0:24
230531,5:54,5:11,408,0:40,1:26,3:01,0:47
230601,5:52,5:16,404,0:35,1:08,3:24,0:45
230602,1:55,1:42,133,0:12,0:13,1:29,0:01
230603,5:34,5:10,391,0:23,1:16,3:15,0:40
230604,9:04,8:20,633,0:42,1:32,6:20,0:30
230605,5:17,4:35,370,0:41,0:58,3:05,0:33
230606,6:49,6:04,476,0:41,1:00,4:27,0:41
